FID,GID,NOME,TTOMB,DESCRICAO,FONTE,ANO_REF,THE_GEOM
Bens Tombados.fid-2be50750_153af4824fe_1792,59,Casa Frei Tito de Alencar,Municipal,"<br><strong>Endereço: </strong>Rua Rodrigues Junior, nº 364<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51977444 -3.727983312)
Bens Tombados.fid-2be50750_153af4824fe_1793,60,Bangalô de Aristides Capibaribe,Municipal,"<br><strong>Endereço: </strong>Av. Filomeno Gomes, nº 742<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.54131526 -3.721443178)
Bens Tombados.fid-2be50750_153af4824fe_1794,61,Paróquia Nossa Senhora do Perpétuo Socorro,Municipal,"<br><strong>Endereço: </strong>Rua Wenefrido Melo, nº 88<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.57739902 -3.808966103)
Bens Tombados.fid-2be50750_153af4824fe_1795,62,Capela do Sagrado Coração de Jesus,Municipal,"<br><strong>Endereço: </strong>Av. João Pessoa, nº 6590<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.56005317 -3.76728197)
Bens Tombados.fid-2be50750_153af4824fe_1796,63,V Batalhão da Polícia Militar,Municipal,"<br><strong>Endereço: </strong>Rua Antônio Pompeu, nº 555<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52903611 -3.73542672)
Bens Tombados.fid-2be50750_153af4824fe_1797,64,Casa antiga da rua Franklin Távora,Municipal,"<br><strong>Endereço: </strong>Rua Franklin Távora, nº 144<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52273292 -3.729757852)
Bens Tombados.fid-2be50750_153af4824fe_1798,65,Caixas d'água do Benfica,Municipal,"<br><strong>Endereço: </strong>Rua Antônio Pompeu, s/n<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.53231913 -3.734067051)
Bens Tombados.fid-2be50750_153af4824fe_1799,66,Círculo Operário do Montese,Municipal,"<br><strong>Endereço: </strong>Rua Aquiles Boris, nº 17<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.5474307 -3.768732585)
Bens Tombados.fid-2be50750_153af4824fe_179a,67,Colégio Militar de Fortaleza,Municipal,"<br><strong>Endereço: </strong>Av. Santos Dumont, nº 485<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.51774401 -3.729313548)
Bens Tombados.fid-2be50750_153af4824fe_179b,68,Casa na Rua Floriano Peixoto,Municipal,"<br><strong>Endereço: </strong>Rua Floriano Peixoto, nº 137<br><br><strong>Proteção: </strong>Em Processo de Tombamento",SECULTFOR,2016,POINT (-38.52587915 -3.723740996)
